player_id,season,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,ppr_sh,name,position,team,rank
00-0034383,2023,59,88,635.0,5,669.0,259.0,35.0,25.352797458600588,0,13.363461037967637,2.6351846199862043,2.239893423603384,150.5,15,0.16417910447761194,0.14511930585683297,0.14404894327030032,0.3623641014018843,0.15151515151515152,0.19230769230769232,0.1724137931034483,0.17467248908296942,0.10941953120456,Dalton Schultz,TE,HOU,10.0
00-0034753,2019,64,98,852.0,10,1035.0,291.0,44.0,46.54352037721242,0,13.9012863455297,3.7136049802878017,4.6940080745995765,207.2,15,0.23389021479713604,0.2807160292921074,0.20830350751610593,0.57540814562939,0.2618315918869084,0.2702702702702703,0.2619047619047619,0.2634146341463415,0.13722217807094225,Mark Andrews,TE,BAL,5.0
00-0034753,2020,58,88,701.0,7,899.0,182.0,37.0,36.731953717828915,0,12.077479505355589,3.4813331063028197,3.9761316179070163,170.10000000000002,14,0.2371967654986523,0.2731692494682467,0.15992970123022848,0.5743305478225758,0.2594374537379719,0.2916666666666667,0.26618705035971224,0.26993865030674846,0.13862176875183366,Mark Andrews,TE,BAL,6.0
00-0034753,2021,107,153,1361.0,9,1574.0,450.0,75.0,56.80677659429325,2,16.585192349547494,4.382319558461445,5.516628898658568,301.1,17,0.25040916530278234,0.3002670736360168,0.2628504672897196,0.615827406862987,0.31895945629247713,0.42857142857142855,0.3588516746411483,0.3652173913043478,0.19844722134345674,Mark Andrews,TE,BAL,1.0
00-0034753,2022,73,113,847.0,5,1105.0,243.0,48.0,24.135454185823722,1,11.516821958422282,4.310140713373472,4.936515361273608,190.5,15,0.2677725118483412,0.32094103979088007,0.20930232558139536,0.658411599605216,0.30434782608695654,0.2777777777777778,0.36923076923076925,0.3581081081081081,0.1693604310022937,Mark Andrews,TE,BAL,4.0
00-0034829,2019,51,89,570.0,5,885.0,175.0,25.0,0.8591694691681786,0,11.312018017864398,2.268085910854732,2.5684613044041273,136.0,15,0.1505922165820643,0.16663528525701374,0.11808367071524967,0.35919655307870746,0.14478028956057912,0.23809523809523808,0.12376237623762376,0.13452914798206278,0.10922115678054578,Mike Gesicki,TE,CIN,12.0
00-0034829,2020,53,85,703.0,6,940.0,167.0,36.0,20.42137467303916,0,10.522644674927395,2.425362694192512,3.5640505233107644,159.3,15,0.15947467166979362,0.2256361017762842,0.10583016476552598,0.4197208889257178,0.1853902953586498,0.25,0.18274111675126903,0.19004524886877827,0.12098611659628764,Mike Gesicki,TE,CIN,7.0
00-0034829,2021,73,112,780.0,2,1038.0,221.0,39.0,17.902017548518067,1,14.886098284432196,3.127401003567923,3.8217989676441255,165.0,17,0.1821138211382114,0.23205902079141516,0.12811594202898552,0.4588179483404492,0.19817073170731708,0.09523809523809523,0.18932038834951456,0.18061674008810572,0.12080477947636618,Mike Gesicki,TE,CIN,8.0
00-0034830,2020,56,88,571.0,6,594.0,245.0,35.0,15.596026029072053,0,15.097131554413492,2.3714876041374002,1.9091041231617936,149.1,16,0.14012738853503184,0.10965479047443234,0.14902676399026765,0.2979149151820937,0.12359307359307359,0.2222222222222222,0.1440329218106996,0.15185185185185185,0.09783464566929133,Hayden Hurst,TE,LAC,9.0
00-0035229,2020,67,101,723.0,6,710.0,329.0,40.0,8.834433764198621,1,18.346138715655993,2.8431272136557553,2.4844098542565236,175.3,16,0.17353951890034364,0.1425416583015459,0.17435082140964495,0.37434260499175215,0.16443029338185125,0.2222222222222222,0.18181818181818182,0.1862348178137652,0.11785032403797026,T.J. Hockenson,TE,MIN,5.0
00-0035229,2022,86,129,914.0,6,981.0,413.0,44.0,3.3726695790851213,2,19.41275074444741,3.425389811720255,3.1387237849596232,215.4,17,0.19664634146341464,0.18086283185840707,0.18453976764968721,0.4396597776818476,0.1843485276321097,0.1935483870967742,0.18410041841004185,0.18518518518518517,0.12784748519129638,T.J. Hockenson,TE,MIN,2.0
00-0035229,2023,95,127,960.0,5,976.0,336.0,48.0,31.82288797302312,0,17.28074780311485,3.599227069358351,3.746610934093204,219.0,15,0.22882882882882882,0.22825070159027128,0.1990521327014218,0.5258438045154603,0.23278370514064015,0.18518518518518517,0.24615384615384617,0.23873873873873874,0.16185535009533947,T.J. Hockenson,TE,MIN,4.0
00-0035644,2020,62,93,673.0,3,626.0,377.0,34.0,10.546787955965847,1,24.246660034882623,2.818775661699468,2.357017991094742,149.3,14,0.18415841584158416,0.14035874439461885,0.2651195499296765,0.38852461927807136,0.21004993757802748,0.17647058823529413,0.21794871794871795,0.2138728323699422,0.13532621503544043,Noah Fant,TE,SEA,8.0
00-0035644,2021,68,90,670.0,4,550.0,309.0,29.0,16.182971487362124,0,21.291076126328992,2.8559201852648144,2.191426101424192,159.0,16,0.17543859649122806,0.12681577127046345,0.19446192573945878,0.36461051175321285,0.18574993069032436,0.21052631578947367,0.17058823529411765,0.1746031746031746,0.125644024401808,Noah Fant,TE,SEA,11.0
00-0035689,2021,49,71,587.0,9,524.0,277.0,31.0,33.19093861678055,0,31.303216545030914,2.003940483055216,1.7217885731670757,163.7,15,0.1256637168141593,0.10889443059019119,0.1855324849296718,0.2756111196933919,0.1490982981965964,0.2647058823529412,0.15048543689320387,0.16666666666666666,0.10648678184845961,Dawson Knox,TE,BUF,10.0
00-0036290,2022,50,69,544.0,7,463.0,286.0,27.0,12.178644300971724,0,19.028948165710663,3.2044916076256094,2.5126952750799227,147.29999999999998,17,0.1830238726790451,0.13514302393461763,0.24869565217391304,0.38265022816626176,0.20939183987682833,0.3684210526315789,0.24770642201834864,0.265625,0.12874523651365238,Cole Kmet,TE,CHI,8.0
00-0036290,2023,73,90,719.0,6,557.0,290.0,36.0,32.52244778362877,0,23.549242083917665,3.1796522228587447,2.7548258624219306,181.1,15,0.19911504424778761,0.16220151426907398,0.19607843137254902,0.4284337777869406,0.24038783015713808,0.35294117647058826,0.24489795918367346,0.25609756097560976,0.16582123171022028,Cole Kmet,TE,CHI,8.0
