,player_id,season,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,ppr_sh,name,position,team
3609,00-0033110,2023,47,70,495.0,2,406.0,246.0,26.0,18.805071377808606,0,25.420444017548945,2.090256343078106,1.6504827883687359,108.5,15,0.13513513513513514,0.10244764067625536,0.13435281267067176,0.284660815243707,0.1288056206088993,0.09523809523809523,0.143646408839779,0.13861386138613863,0.08146746557342584,Tyler Higbee,TE,LAR
3617,00-0033112,2020,1,2,10.0,0,7.0,6.0,1.0,-0.021645617904141545,0,2.5,0.08333333333333333,0.04981762777598227,2.0,2,0.03636363636363636,0.020833333333333332,0.03488372093023256,0.07121212121212121,0.03278688524590164,0.0,0.07692307692307693,0.06666666666666667,0.01511715797430083,Temarrick Hemingway,TE,FA
3654,00-0033217,2018,7,13,133.0,2,152.0,50.0,6.0,2.8305805971031077,0,14.895484940591324,0.37662199403210345,0.5490005993946036,32.300000000000004,8,0.04304635761589404,0.06196494088870771,0.0544069640914037,0.11414148913480723,0.05583543240973971,0.07692307692307693,0.049586776859504134,0.05442176870748299,0.034234959935557724,Mo Alie-Cox,TE,IND
3655,00-0033217,2019,8,11,93.0,0,48.0,60.0,5.0,5.136424312426243,0,17.916666666666668,0.37885632885632886,0.23219266025731347,17.3,9,0.03942652329749104,0.023166023166023165,0.0671892497200448,0.07767260347905508,0.05284090909090909,0.0,0.060240963855421686,0.052083333333333336,0.023904932983280364,Mo Alie-Cox,TE,IND
3656,00-0033217,2020,31,39,394.0,2,264.0,182.0,19.0,12.752992913912749,0,24.125212718316167,1.225084859796144,1.2030583566193536,80.4,14,0.08108108108108109,0.07643312101910828,0.09295199182839632,0.18276811843690827,0.107915639550808,0.1,0.10919540229885058,0.10824742268041238,0.06201119903743811,Mo Alie-Cox,TE,IND
3657,00-0033217,2021,24,45,316.0,4,442.0,150.0,14.0,8.919813206660425,0,24.034620891523396,1.5874179958797747,1.7867536299289277,79.6,17,0.08637236084452975,0.11033449825262107,0.09052504526252263,0.2178261398688915,0.08807134894091416,0.14814814814814814,0.08383233532934131,0.09278350515463918,0.05413787474835409,Mo Alie-Cox,TE,IND
3658,00-0033217,2022,19,28,189.0,3,151.0,99.0,9.0,-1.585438021593057,0,19.182975589225588,0.861664143243773,0.6808051746780924,53.9,14,0.05907172995780591,0.047350266541235496,0.07344213649851632,0.12648780816969726,0.06297900699766744,0.25,0.06040268456375839,0.07453416149068323,0.0552854534638029,Mo Alie-Cox,TE,IND
3659,00-0033217,2023,13,22,161.0,3,222.0,80.0,9.0,6.509590541164027,1,9.713038472964943,0.8183324846294507,1.0012950662451265,49.1,13,0.05405405405405406,0.07129094412331406,0.05767844268204758,0.13811383637973235,0.05576723242119848,0.23076923076923078,0.06521739130434782,0.07947019867549669,0.04638727231501776,Mo Alie-Cox,TE,IND
3660,00-0033246,2018,1,1,5.0,0,0.0,5.0,0.0,-0.08875649864785373,0,0.0,0.037037037037037035,0.0,1.5,1,0.034482758620689655,0.0,0.04672897196261682,0.05172413793103448,0.02252252252252252,0.0,0.0,0.0,0.013688629311918233,Johnny Mundt,TE,MIN
3661,00-0033246,2019,4,7,26.0,0,24.0,10.0,1.0,-1.4095834936015308,0,3.1875,0.1560663593246845,0.08378157880587873,6.6,5,0.03153153153153153,0.015218769816106531,0.012376237623762377,0.05947231315018252,0.0165710643722116,0.0,0.012987012987012988,0.011627906976744186,0.01276200788924124,Johnny Mundt,TE,MIN
3662,00-0033246,2020,4,4,53.0,0,8.0,45.0,1.0,2.884577311342582,0,11.857142857142858,0.1280241935483871,0.03233939490192964,9.3,2,0.06153846153846154,0.017241379310344827,0.18907563025210083,0.10610079575596817,0.1261904761904762,0.0,0.05,0.043478260869565216,0.05582232893157263,Johnny Mundt,TE,MIN
3663,00-0033246,2021,1,1,9.0,0,7.0,2.0,1.0,1.3462372607318684,0,1.2857142857142858,0.024390243902439025,0.01977401129943503,1.9,1,0.024390243902439025,0.01977401129943503,0.018691588785046728,0.05240457489320657,0.03214285714285714,0.0,0.07692307692307693,0.06666666666666667,0.02036441586280814,Johnny Mundt,TE,MIN
3664,00-0033246,2022,19,21,140.0,1,29.0,117.0,9.0,5.40324055960347,0,13.789915966386555,0.5865425400428832,0.1163280419081954,39.0,13,0.04093567251461988,0.008164414414414414,0.07340025094102885,0.06793504030346136,0.040780658316341395,0.041666666666666664,0.04891304347826087,0.04807692307692308,0.03113722734966308,Johnny Mundt,TE,MIN
3665,00-0033246,2023,17,23,172.0,1,114.0,94.0,8.0,2.7715899897662046,0,14.063872174337291,0.6548309750632431,0.2787411113546271,40.2,9,0.0688622754491018,0.041666666666666664,0.09233791748526522,0.13662674650698603,0.06822689408964697,0.07142857142857142,0.06722689075630252,0.06766917293233082,0.04975001237562497,Johnny Mundt,TE,MIN
3672,00-0033258,2017,3,13,26.0,0,95.0,16.0,2.0,-9.748751035949681,0,2.609227871939736,0.4440116287942375,0.3077642265855729,5.6,6,0.07514450867052024,0.06462585034013606,0.02707275803722504,0.1644174432778892,0.020537124802527645,0.0,0.037037037037037035,0.03389830508474576,0.012979788614871129,Darrell Daniels,TE,FA
3673,00-0033258,2018,0,2,0.0,0,57.0,0.0,0.0,-1.159183369600214,0,0.0,0.08293460925039872,0.19307973827215258,0.0,2,0.03636363636363636,0.0912,0.0,0.12750545454545456,0.0,0.0,0.0,0.0,0.0,Darrell Daniels,TE,FA
3674,00-0033258,2019,1,3,4.0,0,22.0,0.0,1.0,0.3965417032595724,0,1.0,0.09859006734006734,0.11035194787317029,1.4,3,0.031914893617021274,0.03464566929133858,0.0,0.07558887585860279,0.0074487895716946,0.0,0.04,0.03571428571428571,0.006364214928629874,Darrell Daniels,TE,FA
3675,00-0033258,2020,8,11,92.0,1,67.0,57.0,4.0,7.233810689242091,0,12.88888888888889,0.324309326994749,0.21687097055052418,23.2,8,0.03728813559322034,0.025121859767529058,0.05666003976143141,0.07602969120385376,0.03761242845461979,0.06666666666666667,0.034782608695652174,0.038461538461538464,0.02681646901079594,Darrell Daniels,TE,FA
3676,00-0033258,2021,1,4,0.0,0,22.0,1.0,0.0,-2.449810207937844,0,0.0,0.13536463536463536,0.193407960199005,1.0,3,0.039603960396039604,0.037606837606837605,0.002304147465437788,0.08949141067952948,0.0,0.0,0.0,0.0,0.00303342838075593,Darrell Daniels,TE,FA
3697,00-0033288,2017,43,63,515.0,2,428.0,271.0,22.0,14.018330501614848,0,19.573826575343055,1.6224283371358663,1.3658459987505585,106.5,15,0.10824742268041238,0.0927209705372617,0.1536281179138322,0.23654791045042792,0.13047884469217128,0.15384615384615385,0.1134020618556701,0.11594202898550725,0.08793077824931059,George Kittle,TE,SFO
3698,00-0033288,2018,88,136,1377.0,5,996.0,870.0,60.0,65.24452762906024,1,31.387392790413717,4.286749181055294,4.149173361545529,258.7,16,0.2556390977443609,0.2616233254531127,0.3756476683937824,0.5927573069790315,0.32422886743583706,0.19230769230769232,0.29850746268656714,0.28634361233480177,0.18858709122454037,George Kittle,TE,SFO
3699,00-0033288,2019,85,107,1053.0,5,633.0,602.0,53.0,58.11540713680884,0,24.452254635338047,3.9364630604868296,3.9414622314137246,222.5,14,0.27648578811369506,0.25239234449760767,0.34030525720746185,0.6166425577686288,0.3136729222520107,0.21739130434782608,0.33125,0.31693989071038253,0.17097235242588635,George Kittle,TE,SFO
3700,00-0033288,2020,48,63,634.0,2,460.0,297.0,32.0,37.16013988704379,0,10.91811926720498,1.938413182346109,2.2899633344092742,125.1,8,0.23247232472324722,0.25219298245614036,0.25736568457538994,0.5504628730497831,0.3033492822966507,0.15384615384615385,0.2962962962962963,0.2809917355371901,0.16837146702557199,George Kittle,TE,SFO
3701,00-0033288,2021,71,94,910.0,6,777.0,450.0,42.0,24.574330641205357,0,18.647497603080204,3.141275546896256,3.1964022139367447,198.0,14,0.2186046511627907,0.23856309487258212,0.23100616016427106,0.5187574526422518,0.2431854623196152,0.24,0.24561403508771928,0.24489795918367346,0.15037822401798462,George Kittle,TE,SFO
3702,00-0033288,2022,60,86,765.0,11,550.0,386.0,36.0,39.60728645684706,0,22.667342252242307,2.961536247789251,2.8015670912900763,200.5,15,0.18695652173913044,0.1774193548387097,0.18656355727404544,0.42237026647966336,0.20670089165090516,0.3793103448275862,0.2057142857142857,0.23039215686274508,0.1442819723093751,George Kittle,TE,SFO
3703,00-0033288,2023,65,90,1020.0,6,852.0,483.0,42.0,59.67616419156603,0,20.58501109097804,3.13225698386956,3.7727887824881385,203.20000000000002,16,0.1935483870967742,0.22623473181093998,0.2298905283198477,0.47131036609391325,0.2324521422060164,0.1875,0.2131979695431472,0.2096069868995633,0.12726088481386844,George Kittle,TE,SFO
3741,00-0033315,2017,2,3,15.0,0,13.0,2.0,2.0,2.3637870575184934,0,2.361111111111111,0.08183183183183183,0.07217607973421927,3.5,2,0.04054054054054054,0.033942558746736295,0.008583690987124463,0.08796485780819985,0.03731343283582089,0.0,0.09523809523809523,0.09090909090909091,0.02845991218084241,Cole Hikutini,TE,DAL
3748,00-0033338,2017,0,1,0.0,0,21.0,0.0,0.0,-0.47073175804689527,0,0.0,0.029411764705882353,0.06287425149700598,0.0,1,0.027777777777777776,0.06158357771260997,0.0,0.09093352883675465,0.0,0.0,0.0,0.0,0.0,Cethan Carter,TE,FA
3749,00-0033338,2019,2,3,13.0,1,8.0,5.0,2.0,2.3386816620477475,0,1.625,0.10600255427841634,0.034934497816593885,9.3,2,0.05084745762711865,0.016260162601626018,0.031446540880503145,0.08927931652197879,0.03812316715542522,0.5,0.09523809523809523,0.13043478260869565,0.06501677852348994,Cethan Carter,TE,FA
3750,00-0033338,2020,5,7,53.0,0,54.0,10.0,3.0,1.635020989459008,0,4.07085020242915,0.24363044363044362,0.254985380410437,10.3,6,0.03398058252427184,0.031652989449003514,0.01763668430335097,0.07629326534561058,0.0390279823269514,0.0,0.04285714285714286,0.039473684210526314,0.021470858000500293,Cethan Carter,TE,FA
3751,00-0033338,2021,2,2,16.0,0,8.0,8.0,0.0,0.8726701226551086,0,9.142857142857142,0.04508611955420466,0.03644971832674098,3.6,2,0.021739130434782608,0.01309328968903437,0.041237113402061855,0.04308332740340141,0.029850746268656716,0.0,0.0,0.0,0.02210759027266028,Cethan Carter,TE,FA
3785,00-0033387,2017,4,11,42.0,0,91.0,5.0,2.0,-5.50680349548639,0,3.3875,0.3073266567947419,0.2863361106628344,8.7,9,0.032448377581120944,0.03157529493407356,0.004344048653344918,0.07393280231894026,0.015311702515493984,0.0,0.014184397163120567,0.012658227848101266,0.009219813060342086,Jacob Hollister,TE,FA
3786,00-0033387,2018,4,5,52.0,0,41.0,16.0,2.0,1.6663167912047356,0,2.466183574879227,0.13571428571428573,0.1617125639408591,9.2,2,0.0641025641025641,0.0726950354609929,0.05925925925925926,0.15430987452264047,0.10379241516966067,0.0,0.08333333333333333,0.07692307692307693,0.05999739141776444,Jacob Hollister,TE,FA
3787,00-0033387,2019,41,59,349.0,3,340.0,169.0,16.0,-3.577775203590452,0,9.08492170503134,1.851678532532425,1.202473439673997,93.9,10,0.1798780487804878,0.10981912144702842,0.15779645191409897,0.3576723703283544,0.14505403158769742,0.17647058823529413,0.14285714285714285,0.14728682170542637,0.1068818721970542,Jacob Hollister,TE,FA
3788,00-0033387,2020,25,40,209.0,3,237.0,80.0,14.0,5.621273778904519,1,17.217081236288553,1.1869883736805298,0.8834394989562966,65.9,13,0.08528784648187633,0.06108247422680412,0.054570259208731244,0.1767977491042578,0.06183431952662722,0.1,0.07954545454545454,0.0825242718446602,0.05054843905806551,Jacob Hollister,TE,FA
3789,00-0033387,2021,9,14,55.0,1,77.0,31.0,2.0,-11.510760905192,0,24.88095238095238,0.4391504329004329,0.28851972392187697,20.5,6,0.06896551724137931,0.04764851485148515,0.05317324185248713,0.1415670877432571,0.036231884057971016,0.2,0.0273972602739726,0.038461538461538464,0.03958904638677532,Jacob Hollister,TE,FA
3793,00-0033421,2017,2,2,25.0,0,5.0,20.0,2.0,1.8529769463348202,0,2.2,0.061553030303030304,0.017985611510791366,4.5,2,0.029850746268656716,0.008183306055646482,0.09615384615384616,0.05132276424750226,0.043936731107205626,0.0,0.06451612903225806,0.05555555555555555,0.02266317485898469,Antony Auclair,TE,FA
3794,00-0033421,2018,7,8,48.0,0,40.0,8.0,1.0,0.7618455660995096,0,6.337179487179487,0.19360091366670315,0.08819254838009383,11.8,6,0.03305785123966942,0.015214910612400151,0.015037593984962405,0.06175870534942426,0.02524986849026828,0.0,0.01020408163265306,0.009009009009009009,0.01921386003191455,Antony Auclair,TE,FA
3795,00-0033421,2019,1,3,11.0,0,2.0,8.0,1.0,-0.518453404889442,0,0.0,0.07428940568475452,0.0041435428228588575,2.1,2,0.037037037037037035,0.002173913043478261,0.041666666666666664,0.057294685990338164,0.015384615384615385,0.0,0.02857142857142857,0.025,0.008959044368600682,Antony Auclair,TE,FA
3796,00-0033421,2020,0,1,0.0,0,12.0,0.0,0.0,-0.6814361801370978,0,0.0,0.045454545454545456,0.05263157894736842,0.0,1,0.043478260869565216,0.05263157894736842,0.0,0.10732265446224257,0.0,0.0,0.0,0.0,0.0,Antony Auclair,TE,FA
3797,00-0033421,2021,5,5,47.0,1,22.0,25.0,2.0,5.6944959633401595,0,3.090909090909091,0.13912037037037037,0.08252211775799428,15.700000000000001,4,0.03225806451612903,0.017350157728706624,0.03987240829346093,0.06226722295715885,0.03969594594594594,0.14285714285714285,0.041666666666666664,0.05454545454545454,0.043896437957837056,Antony Auclair,TE,FA
3801,00-0033439,2019,2,3,27.0,0,27.0,14.0,1.0,1.1191763688693754,0,4.071428571428571,0.09128584229390681,0.09418853732319515,4.699999999999999,3,0.02912621359223301,0.02928416485900217,0.027559055118110236,0.06711665227555125,0.02947598253275109,0.0,0.029411764705882353,0.02702702702702703,0.015602177665648649,Pharaoh Brown,TE,SEA
3802,00-0033439,2020,14,16,163.0,2,127.0,76.0,9.0,10.921073864854407,0,10.953025947220993,0.4512367135325393,0.43187585593880845,42.300000000000004,8,0.055944055944055944,0.04974539757148453,0.07076350093109869,0.12371240197327155,0.06357254290171607,0.1,0.0782608695652174,0.08148148148148149,0.0491140886607993,Pharaoh Brown,TE,SEA
3803,00-0033439,2021,23,34,171.0,0,146.0,106.0,6.0,-10.383439970088247,0,29.33132978132978,1.224108584197995,0.6492759034528248,38.1,12,0.09631728045325778,0.057435090479937057,0.09671532846715329,0.19042399306383634,0.075,0.0,0.0594059405940594,0.05217391304347826,0.046759941089838,Pharaoh Brown,TE,SEA
3804,00-0033439,2022,12,20,117.0,0,128.0,83.0,6.0,-2.4887456162299766,0,5.159851551956815,0.5836926391954855,0.3937782066901722,23.7,7,0.08,0.05906783571758191,0.11942446043165468,0.16725426857406553,0.07335423197492164,0.0,0.08108108108108109,0.07317073170731707,0.04603729603729604,Pharaoh Brown,TE,SEA
3805,00-0033439,2023,13,15,208.0,1,104.0,121.0,8.0,5.469753680867143,0,20.406581292804205,0.5247780512241024,0.5769722577333917,37.800000000000004,9,0.055762081784386616,0.056614044637996734,0.12525879917184266,0.1289343583869773,0.11510791366906475,0.09090909090909091,0.10256410256410256,0.10112359550561797,0.058642837196313885,Pharaoh Brown,TE,SEA
3808,00-0033455,2018,19,20,225.0,1,133.0,97.0,12.0,18.439273442954843,0,15.733048807576061,0.8427117610026156,0.7335864636007482,47.5,8,0.0975609756097561,0.0778688524590164,0.12185929648241206,0.20863654538184728,0.13297872340425532,0.1111111111111111,0.1643835616438356,0.15853658536585366,0.07888006908233418,Anthony Firkser,TE,NYJ
3809,00-0033455,2019,14,24,204.0,1,222.0,71.0,9.0,-1.0862801145568195,0,9.359674160964484,0.9286636868147757,0.7922174364993453,40.4,10,0.08304498269896193,0.07900355871886121,0.06513761467889909,0.18777032102353186,0.0790391321193336,0.05,0.075,0.07142857142857142,0.04217383134643088,Anthony Firkser,TE,NYJ
3810,00-0033455,2020,39,53,387.0,1,371.0,143.0,26.0,18.857272035983456,0,15.39457062429359,1.7906211697860233,1.6041379647809821,83.7,15,0.11830357142857142,0.10037878787878787,0.09923664122137404,0.25775838744588747,0.11041369472182597,0.029411764705882353,0.1368421052631579,0.12053571428571429,0.05538278303447364,Anthony Firkser,TE,NYJ
3811,00-0033455,2021,34,43,291.0,2,250.0,111.0,15.0,10.048556437280958,0,23.826921087934515,1.3947413837329803,1.062627057959888,73.10000000000001,15,0.09188034188034189,0.07297139521307647,0.07170542635658915,0.196197628990974,0.09090909090909091,0.1,0.08982035928143713,0.09090909090909091,0.05888797589701451,Anthony Firkser,TE,NYJ
3812,00-0033455,2022,9,13,100.0,0,108.0,20.0,5.0,2.5137516588961253,0,7.872465254044202,0.4912098017997848,0.44060123583384747,19.0,8,0.06018518518518518,0.05034965034965035,0.03350083752093802,0.13055749805749806,0.06798096532970768,0.0,0.07042253521126761,0.06493506493506493,0.03348961821835231,Anthony Firkser,TE,NYJ
3837,00-0033514,2017,2,2,31.0,0,4.0,27.0,1.0,2.048410553834401,0,7.75,0.06451612903225806,0.0213903743315508,5.1,1,0.0625,0.02185792349726776,0.1836734693877551,0.11123633879781421,0.16062176165803108,0.0,0.1,0.09090909090909091,0.07807715860379667,Emanuel Byrd,TE,FA
3845,00-0033528,2017,2,3,13.0,1,20.0,3.0,1.0,1.5135702438419685,0,3.0,0.0936936936936937,0.06845136027113982,9.3,3,0.03,0.020181634712411706,0.008771929824561403,0.061145307769929366,0.014976958525345621,0.16666666666666666,0.02564102564102564,0.044444444444444446,0.03264074126070476,Jeremy Sprinkle,TE,FA
3846,00-0033528,2018,5,9,41.0,1,58.0,21.0,3.0,0.9151661300066871,0,5.907894736842105,0.3687755481233742,0.22768977760138964,15.100000000000001,5,0.06474820143884892,0.04136947218259629,0.0621301775147929,0.1302178799043504,0.048292108362779744,0.2,0.06521739130434782,0.0784313725490196,0.04765511582402323,Jeremy Sprinkle,TE,FA
3847,00-0033528,2019,26,40,241.0,1,258.0,91.0,13.0,0.061730575922410935,0,26.064025913092127,1.4603418805654171,1.3510594183848335,56.1,15,0.08849557522123894,0.07624113475177305,0.06652046783625731,0.19373627063327684,0.07940691927512356,0.058823529411764705,0.09090909090909091,0.0875,0.05388531361060416,Jeremy Sprinkle,TE,FA
